pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Körper,der,m,der Körper.,Körper,body,"Sport ist gut für den Körper.","Sport is good for the body.","Mein ganzer Körper tut weh.","My whole body hurts."
noun,Kopf,der,m,der Kopf.,Köpfe,head,"Mein Kopf tut weh.","My head hurts.","Ich habe einen großen Kopf.","I have a big head."
noun,Auge,das,n,das Auge.,Augen,eye,"Er hat blaue Augen.","He has blue eyes.","Meine Augen sind müde.","My eyes are tired."
noun,Ohr,das,n,das Ohr.,Ohren,ear,"Das Baby hat kleine Ohren.","The baby has small ears.","Mein rechtes Ohr tut weh.","My right ear hurts."
noun,Nase,die,f,die Nase — ends in -e.,Nasen,nose,"Ihre Nase ist rot.","Her nose is red.","Ich putze mir die Nase.","I blow my nose."
noun,Mund,der,m,der Mund.,Münder,mouth,"Mach den Mund auf.","Open your mouth.","Der Mund ist klein.","The mouth is small."
noun,Zahn,der,m,der Zahn.,Zähne,tooth,"Ich muss zum Zahnarzt, mein Zahn tut weh.","I have to go to the dentist, my tooth hurts.","Bitte Zähne putzen!","Please brush teeth!"
noun,Hals,der,m,der Hals.,Hälse,neck / throat,"Ich habe Schmerzen im Hals.","I have pain in my throat.","Der Hals ist lang.","The neck is long."
noun,Arm,der,m,der Arm.,Arme,arm,"Er hat lange Arme.","He has long arms.","Mein linker Arm tut weh.","My left arm hurts."
noun,Hand,die,f,die Hand.,Hände,hand,"Wasch dir die Hände!","Wash your hands!","Gib mir deine Hand.","Give me your hand."
noun,Finger,der,m,der Finger.,Finger,finger,"Die Hand hat fünf Finger.","The hand has five fingers.","Mein Finger blutet.","My finger is bleeding."
noun,Bauch,der,m,der Bauch.,Bäuche,stomach / belly,"Ich habe zu viel gegessen, mein Bauch tut weh.","I ate too much, my stomach hurts.","Der Bauch ist dick.","The belly is big."
noun,Rücken,der,m,der Rücken — ends in -en.,Rücken,back (anatomy),"Mein Rücken tut vom Sitzen weh.","My back hurts from sitting.","Er hat Probleme mit dem Rücken.","He has problems with his back."
noun,Bein,das,n,das Bein.,Beine,leg,"Das Bein ist gebrochen.","The leg is broken.","Sie hat lange Beine.","She has long legs."
noun,Fuß,der,m,der Fuß.,Füße,foot,"Mein rechter Fuß tut weh.","My right foot hurts.","Die Schuhe sind für die Füße.","The shoes are for the feet."
noun,Gesundheit,die,f,die Gesundheit — ends in -heit.,-,health,"Gesundheit ist das Wichtigste.","Health is the most important thing.","Gesundheit! (Nach dem Niesen)","Bless you! (After sneezing)"
noun,Krankheit,die,f,die Krankheit — ends in -heit.,Krankheiten,illness / disease,"Das ist eine schwere Krankheit.","That is a serious illness.","Welche Krankheit haben Sie?","Which illness do you have?"
noun,Schmerz,der,m,der Schmerz (often plural: Schmerzen).,Schmerzen,pain / ache,"Ich habe Schmerzen.","I am in pain (have pains).","Der Schmerz ist stark.","The pain is strong."
noun,Kopfschmerzen,die,pl,Always plural in this context.,-,headache,"Ich habe starke Kopfschmerzen.","I have a severe headache.","Kopfschmerzen sind furchtbar.","Headaches are terrible."
noun,Halsschmerzen,die,pl,Always plural in this context.,-,sore throat,"Trink Tee gegen die Halsschmerzen.","Drink tea for the sore throat.","Ich habe Halsschmerzen.","I have a sore throat."
noun,Bauchschmerzen,die,pl,Always plural in this context.,-,stomachache,"Das Kind hat Bauchschmerzen.","The child has a stomachache.","Kein Eis bei Bauchschmerzen!","No ice cream when you have a stomachache!"
noun,Rückenschmerzen,die,pl,Always plural in this context.,-,backache,"Yoga hilft gegen Rückenschmerzen.","Yoga helps against backache.","Haben Sie oft Rückenschmerzen?","Do you often have backaches?"
noun,Zahnschmerzen,die,pl,Always plural in this context.,-,toothache,"Mit Zahnschmerzen musst du zum Arzt.","With a toothache you must go to the doctor.","Ich habe schreckliche Zahnschmerzen.","I have a terrible toothache."
noun,Fieber,das,n,das Fieber.,-,fever,"Du bist heiß, du hast Fieber.","You are hot, you have a fever.","Das Fieber ist hoch.","The fever is high."
noun,Husten,der,m,der Husten.,-,cough,"Er hat einen schlimmen Husten.","He has a bad cough.","Husten und Schnupfen.","Cough and sniffles."
noun,Schnupfen,der,m,der Schnupfen.,-,runny nose / sniffles,"Ich habe Schnupfen.","I have a runny nose.","Hast du Schnupfen?","Do you have the sniffles?"
noun,Medikament,das,n,das Medikament.,Medikamente,medicine / medication,"Nehmen Sie das Medikament zweimal täglich.","Take the medicine twice daily.","Ich brauche Medikamente.","I need medication."
noun,Tablette,die,f,die Tablette — ends in -e.,Tabletten,pill / tablet,"Nehmen Sie diese Tablette.","Take this pill.","Die Tablette hilft gegen Schmerzen.","The pill helps against pain."
noun,Apotheke,die,f,die Apotheke — ends in -e.,Apotheken,pharmacy,"Kaufen Sie die Tabletten in der Apotheke.","Buy the pills at the pharmacy.","Die Apotheke ist nebenan.","The pharmacy is next door."
noun,Rezept,das,n,das Rezept.,Rezepte,prescription (also recipe),"Sie brauchen ein Rezept vom Arzt.","You need a prescription from the doctor.","Hier ist Ihr Rezept.","Here is your prescription."
noun,Arzt,der,m,der Arzt.,Ärzte,doctor (male),"Gehen Sie zum Arzt!","Go to the doctor!","Der Arzt kommt gleich.","The doctor is coming right away."
noun,Ärztin,die,f,die Ärztin.,Ärztinnen,doctor (female),"Frau Müller ist Ärztin.","Mrs. Müller is a doctor.","Die Ärztin untersucht das Kind.","The female doctor examines the child."
noun,Sprechstunde,die,f,die Sprechstunde.,Sprechstunden,consultation hour / office hours,"Die Sprechstunde ist von 8 bis 12.","Consultation hours are from 8 to 12.","Kommen Sie in die Sprechstunde.","Come during consultation hours."
verb,wehtun,-,-,-,-,to hurt / to ache (separable),"Mein Kopf tut weh.","My head hurts.","Was tut Ihnen weh?","What hurts you?"
verb,haben,-,-,-,-,to have (used for illnesses),"Ich habe Husten.","I have a cough.","Hast du Fieber?","Do you have a fever?"
verb,sein,-,-,-,-,to be (used for feelings),"Ich bin krank.","I am sick.","Bist du müde?","Are you tired?"
